condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category,diff
2,Brown,0.8,7.78,13,9,0,1,73.68402778
1,White,0.72,14.19,13,9,0,2,1862.740972
1,White,0.62,17.82,0,1,0,2,755.7708333
2,Black,0.5,11.06,18,4,0,1,52.40138889
0,Red,0.92,29.56,0,7,1,2,501.5541667
2,Brown,0.14,40.24,0,1,0,1,154.6666667
0,White,0.15,25.48,7,1,1,1,89.71111111
2,Brown,0.05,38.22,13,9,1,2,299.6868056
2,Brown,0.55,21.26,13,9,1,2,1123.484722
0,Tricolor,0.3,23.06,0,1,1,2,4411.564583
2,Brown,0.44,40.32,16,9,1,1,236.375
1,Black,0.2,30.78,13,9,0,2,822.6958333
1,White,0.45,5.39,13,9,0,2,183
0,Calico,0.48,30.54,0,1,1,1,93.74027778
1,Black,0.18,49.05,13,9,0,1,82.50972222
1,Red,0.88,49.5,7,1,0,2,228.5798611
1,Black,0.93,14.83,0,7,0,2,3673.497222
2,Brown,0.76,38.99,13,9,1,2,1491
0,Black,0.96,24.33,0,1,1,1,98.49027778
1,Brown,0.66,36.01,0,1,0,1,3125.477083
0,White,0.92,49.5,7,1,1,2,71.71527778
0,Blue,0.31,49.04,13,9,1,2,870.7048611
2,Black,0.51,45.53,13,9,0,2,2349
1,Black,0.8,37.17,0,7,0,2,386.5944444
0,Tortie,0.53,35.06,0,1,1,1,116.7368056
1,Gray,0.32,48.92,0,7,0,2,2236.514583
1,Fawn,0.98,14.02,0,7,0,2,388.7611111
0,Tricolor,0.68,22.33,0,7,1,2,2772.615278
1,Buff,0.16,27.19,0,1,0,2,1125.677083
1,White,0.6,49.36,13,9,0,2,4771
0,Black,0.83,22.34,0,1,1,2,3226.659028
0,White,0.92,37.62,0,1,1,1,607.6527778
2,White,0.16,48.19,0,7,1,2,391.6354167
1,Black,0.91,30.24,13,9,0,2,446.6354167
0,Torbie,0.73,15.86,0,1,1,1,86.78055556
1,Orange,0.9,12.88,0,7,0,1,2584.595139
1,Tricolor,0.88,41.37,0,7,0,2,417.775
2,Brown,0.65,18.14,13,9,1,4,752.6430556
0,Black,0.79,10.9,7,1,1,1,795.4659722
0,Blue,0.05,44.1,0,1,1,1,241.7375
0,Orange,0.52,13.25,16,9,1,1,387.375
1,Black,0.62,32.76,0,1,0,2,130.7145833
1,White,0.42,10.38,0,8,0,2,393.4923611
1,Black,0.53,42.92,13,9,0,1,1175.395833
0,Black,0.07,7.09,16,9,1,1,753.7930556
0,Blue,0.41,35.07,0,1,1,2,396.6027778
2,Sable,0.54,17.01,0,7,0,2,3412.726389
0,White,0.19,30.01,13,9,1,2,769.5458333
0,Tan,0.67,15.38,0,7,1,2,1127.766667
1,Tan,0.7,12.53,0,7,0,2,1389.6125
1,Brown,0.8,29.12,0,1,0,2,756.8798611
2,Brown,0.33,46.54,18,4,0,1,91.65972222
0,Tan,0.09,20.71,0,1,1,2,391.7326389
1,White,0.62,35.64,7,1,0,1,87.82708333
1,Black,0.83,17.96,0,7,0,1,721.4826389
0,Black,0.04,43.27,0,1,1,2,329.7333333
1,Orange,0.38,32.15,16,9,0,1,390.7909722
0,Blue,0.1,44.25,0,1,1,2,761.6229167
2,Brown,0.73,35.42,9,2,0,1,95.64097222
0,Brown,0.31,49.06,0,1,1,1,3119.777083
0,Tricolor,0.3,23.88,0,7,1,2,1850.620833
1,Black,0.24,40.52,0,7,0,1,1117.677778
2,Black,0.79,39.36,0,3,0,1,1119.629167
2,Buff,0.27,32.8,18,4,0,1,2942.602778
1,Blue,0.58,39.96,0,1,0,2,774.6020833
0,Black,0.18,48.06,0,7,1,2,2944.486111
0,White,0.01,30.99,0,1,1,2,389.7138889
0,Brown,0.56,16.55,7,1,1,2,1081.505556
0,Orange,0.46,27.83,0,1,1,1,90.675
1,Brown,0.45,35.75,0,1,0,2,1138.713194
2,Tricolor,0.64,35.69,13,9,1,2,755.7368056
1,Orange,0.3,29.19,0,1,0,1,768.7173611
1,Orange,0.32,40.57,16,9,0,1,1118.375
1,Black,0.1,7.12,0,7,0,2,1130.572917
1,Black,0,32.98,7,1,0,2,424.3395833
0,Blue,0.01,43.68,0,1,1,1,1137.66875
0,Torbie,0.89,12.65,0,1,1,1,783.7951389
1,White,0.46,19.38,0,1,0,1,149.7875
0,Brown,0.91,45.39,0,1,1,1,400.5138889
2,Brown,0.43,49.54,17,9,1,1,390.5291667
0,Brown,0.67,42.6,0,1,1,1,100.7895833
1,Black,0.93,20.02,0,1,0,2,97.84027778
0,Tan,0,22.2,0,7,1,2,389.6201389
0,Orange,0.41,6.47,0,1,1,1,765.4958333
1,Black,0.02,36.19,17,9,0,1,390.7076389
0,Torbie,0.44,25.45,0,1,1,1,93.78263889
1,Tan,0.21,31.52,0,7,0,2,1305.763194
0,Blue,0.11,42.76,0,1,1,1,144.7819444
0,Chocolate,0.84,22.98,0,7,1,2,1841.731944
0,Black,0.09,8.86,0,1,1,1,1743.665972
1,Orange,0.06,15.46,0,1,0,1,157.8020833
2,White,0.61,25.47,0,7,0,2,226.5451389
2,Orange,0.81,42.33,18,4,0,1,753.3861111
1,Chocolate,0.14,45.05,0,7,0,2,2942.559028
2,Black,0.05,31.45,13,9,1,1,2947.713194
2,Brown,0.82,17.62,9,2,1,1,3672.770139
1,Black,0.81,29.03,0,1,0,1,141.7638889
0,White,0.76,46.05,0,1,1,2,1244.698611
1,Black,0.92,11.19,0,1,0,1,755.6645833
2,Black,0.33,33.54,13,9,0,1,44.51666667
2,Black,0.95,44.05,13,9,1,1,137.5722222
2,Red,0.17,33.19,15,4,1,4,1117.7875
1,Tan,0.14,17.85,13,9,0,2,95.62291667
2,Brown,0.37,17.3,0,1,0,1,85.72013889
1,Black,0.41,24.66,0,1,0,2,101.7291667
1,Cream,0.52,6.25,0,1,0,1,389.78125
1,White,0.91,24.31,0,7,0,2,599.6666667
0,Blue,0.69,42.55,0,1,1,1,89.52083333
0,Black,0.04,5.4,0,7,1,2,1847.695833
1,Orange,0.03,8.12,0,1,0,1,88.77777778
0,Tan,0.18,26.67,0,1,1,2,214.6166667
0,Torbie,0.04,13.85,0,1,1,1,94.7125
1,Black,0.08,29.65,0,7,0,2,1482.651389
2,White,0.2,32.09,13,9,0,2,207.6388889
2,Black,0.15,31.43,0,7,0,2,577.5006944
1,Brown,0.63,22.83,0,1,0,2,414.8020833
1,Blue,0.9,24.96,7,1,0,1,177.5430556
2,Black,0.81,43.14,13,9,0,1,58.56319444
0,rare,0.36,15.45,0,1,1,2,235.6555556
0,Brown,0.49,7.78,13,9,1,1,540.5145833
2,Black,0.27,12.54,13,9,0,1,51.61111111
2,Calico,0.53,20.28,9,5,1,1,103
1,White,0.4,47.42,0,7,0,2,2578.4
1,Blue,0.04,45.23,0,7,0,2,1117.759028
0,Brown,0.77,27.39,0,7,1,1,4776.483333
0,Blue,0.19,26.1,13,9,1,1,118.4583333
1,Blue,0.5,12.22,0,7,0,2,1921
0,Brown,0.9,48.26,0,1,1,2,783.775
1,Blue,0.3,31.37,7,1,0,1,125.75
0,Blue,0.91,27.96,0,1,1,1,438.7777778
0,Tortie,1,27.77,0,1,1,1,92.64652778
1,Tan,0.53,22.5,7,1,0,2,75.76805556
0,White,0.49,18.86,13,9,1,2,1489.496528
2,Black,0.48,12.48,2,4,0,1,750
0,White,0.73,9.2,0,7,1,2,1850.749306
0,White,0.21,47.6,0,7,1,2,386.7263889
2,Black,0.91,41.92,13,9,1,2,390.6604167
0,Black,0.69,41.93,0,7,1,2,1118.461111
0,Orange,0.06,33.95,7,1,1,1,506.7555556
1,Brown,0.37,26.27,0,1,0,1,115.5263889
1,Orange,0.47,7.59,0,7,0,1,387.6680556
1,Brown,0.88,44.54,0,1,0,1,106.60625
1,Black,0.09,29.71,0,7,0,2,764.7944444
1,Tan,0.87,20.66,0,1,0,2,785.4840278
1,Orange,0.66,23.94,7,1,0,1,140.7222222
1,White,0.64,41.35,0,7,0,2,1482.676389
2,Tricolor,0.51,13.5,13,9,1,2,1851.551389
2,Red,0.29,6.67,13,9,0,2,781.4319444
0,Black,0.04,9.82,0,7,1,2,4415.411806
2,Black,0.16,8.04,7,1,0,1,76.44722222
2,Brown,0.61,39.88,0,1,1,1,89.67083333
2,Brown,0.66,18.9,18,4,1,2,3309.421528
0,Orange,0.15,36.78,0,1,1,1,134.5368056
1,Black,0.19,25.17,0,1,0,2,395.6409722
2,White,0.49,5.36,13,9,1,2,222.6479167
1,Blue,0.33,17.73,0,1,0,1,118.7923611
1,Black,0.73,35.55,0,1,0,1,1865.643056
1,Tan,0.63,30.38,0,7,0,2,2379.679167
2,Brown,0.09,31.36,18,4,0,1,149.53125
1,Orange,0.24,12.49,13,9,0,1,224
0,Black,0,17.1,0,1,1,2,448.5965278
2,White,0.9,35.86,13,9,0,2,28.67430556
1,Red,0.06,43.61,7,1,0,2,666.5104167
0,Tan,0.42,19.77,0,1,1,2,401.7840278
1,Fawn,0.12,25.23,0,1,0,2,451.7791667
0,Tortie,0.33,32.86,0,1,1,1,110.7381944
2,Tortie,0.26,31.88,16,9,1,1,752.375
2,Calico,0.96,45.54,0,1,1,1,100.75
0,Buff,0.62,47.82,0,1,1,2,1156.76875
1,White,0.9,35.33,0,7,0,2,1248.48125
2,Brown,0.1,33.83,17,9,1,1,118.5256944
1,Brown,0.85,34.59,0,1,0,1,186.7611111
1,Blue,0.56,15.28,13,9,0,1,1855.563889
1,Black,0.47,30.8,0,7,0,2,807
1,Black,0.08,8.46,17,9,0,1,117.64375
0,Yellow,0.45,35.76,0,7,1,2,393.5319444
0,Black,0.54,15.61,7,1,1,1,116.4555556
0,White,0.06,41.49,13,9,1,2,345.5055556
1,White,0.15,28.19,0,7,0,2,499.6020833
1,Black,0.87,25.13,7,1,0,2,94.50763889
1,Black,0.63,46.43,0,1,0,2,1490.652778
2,Black,0.81,12.33,13,9,0,2,176.6076389
1,Cream,0.28,46.19,7,1,0,1,107.3930556
1,Cream,0.95,35.16,0,1,0,1,100.6909722
0,Cream,0.6,34.45,0,1,1,1,132.7333333
0,White,0.53,9,0,7,1,2,180.7333333
1,Tan,0.53,47.79,0,1,0,2,116.7131944
0,Brown,0.62,41.68,13,9,1,2,460.4861111
1,White,0.96,32.02,0,1,0,2,391.7590278
2,Brown,0.69,29.85,13,9,1,2,53.52430556
1,rare,0.31,12.21,0,1,0,2,1304.723611
1,Tan,0.83,17.07,0,1,0,2,397.7944444
1,Yellow,0.3,49.38,0,1,0,2,461.7354167
1,White,0.07,36.77,0,7,0,2,971.5611111
0,Black,0.78,40.17,13,9,1,2,399
1,rare,0.41,38.73,0,1,0,1,2067.663194
0,Black,0.61,37.27,0,7,1,2,2210.765278
0,Black,0.29,31.53,0,1,1,2,1507.786806
1,Gray,0.79,33.12,0,1,0,1,82.76319444
2,Black,0.96,30.64,13,9,1,2,73.59375
0,Brown,0.86,22.95,0,1,1,2,263.5444444
1,Blue,0.41,22.76,0,1,0,1,176.5944444
1,Blue,0.65,29.95,0,1,0,2,1222.727778
0,Black,0.55,35.53,0,1,1,2,4420.765278
1,Orange,0.97,27.9,0,1,0,1,4045.620139
2,Black,0.85,32.17,18,4,0,1,72.68888889
0,Brown,0,20.55,0,1,1,2,134.7236111
1,Black,0.56,43.07,7,1,0,1,89.7375
1,Tan,0.93,13.47,0,7,0,2,3625.520139
1,Black,0.73,44.25,13,9,0,1,579.6006944
1,Tan,0.05,39.86,0,1,0,2,609.7402778
1,Black,0.71,28.59,0,7,0,2,2341.713889
1,Black,0.2,41.9,0,1,0,2,2974.520139
0,Brown,0.08,49.17,0,1,1,1,99.75763889
1,Buff,0.21,38.8,0,7,0,2,4090.447917
2,Black,0.15,39.21,0,7,1,2,570.7083333
2,Black,0.89,29.68,0,7,0,2,396.71875
0,Torbie,0.74,27.37,7,1,1,1,89.36111111
1,Tan,0.64,8.23,0,1,0,2,391.7729167
1,Blue,0.04,14.75,0,1,0,1,722.51875
0,Tan,0.49,37.41,7,1,1,2,3837.704861
2,Buff,0.91,5.19,13,9,0,2,1120.333333
1,Yellow,0.75,18.48,13,9,0,2,817.6555556
1,Chocolate,0.06,33.8,0,7,0,2,4404.60625
2,Tan,0.31,19.13,16,9,0,1,1118.375
2,Brown,0.84,38.64,16,9,1,1,387.375
0,Black,0.85,23.15,0,1,1,2,1715.568056
0,Brown,0.38,36.04,0,1,1,1,428.5145833
2,Black,0.47,18.49,13,9,0,1,26.51805556
2,Orange,0.42,28.31,13,9,0,1,141.55625
0,Tan,0.46,31.9,0,7,1,2,753.5361111
0,Black,0.33,38.9,0,1,1,2,1214.727083
2,Brown,0.79,29.49,16,9,1,1,541.375
0,White,0.04,16.33,0,1,1,2,1852.738889
2,Black,0.73,40.05,0,7,1,2,1117.568056
0,Black,0.3,34.08,0,1,1,1,137.5180556
0,Blue,0.12,5.69,0,1,1,1,86.71666667
0,Red,0.28,34.77,13,9,1,2,2948.629167
0,Red,0.22,16.2,0,1,1,2,101.7444444
1,Black,0.02,28.51,0,1,0,1,109.775
1,Tan,0.97,30.57,0,1,0,2,83.36458333
0,Red,0.35,48.44,0,1,1,2,2950.738889
1,Brown,0.65,13.1,0,7,0,2,2156.607639
1,Chocolate,0.15,20.29,0,1,0,2,86.73472222
1,Tan,0.22,8.16,0,1,0,2,392.7222222
1,Orange,0.27,16.82,7,1,0,1,88.58125
2,White,0.95,21.23,8,2,1,1,97.39861111
2,Blue,0.62,22.14,18,4,0,1,387.6048611
2,Blue,0.93,37.85,13,9,1,2,274.775
1,White,0.09,37.6,0,1,0,2,757.7402778
1,Blue,0.72,35.28,0,7,0,1,2580.497222
1,Black,0.4,13.05,0,1,0,2,210.79375
1,Brown,0.79,36.15,0,1,0,2,419.7229167
1,Blue,0.68,26.79,17,9,0,1,389
1,Brown,0.91,37.99,0,1,0,1,99.77638889
0,Black,0.95,13.15,0,1,1,1,108.5944444
1,Black,0.54,33.18,13,9,0,1,431.5694444
1,Black,0.49,41.77,0,1,0,2,797.7458333
2,Black,0.91,15.6,0,1,0,2,391.6958333
0,Tan,0.82,14.53,0,1,1,2,752.6298611
0,Tricolor,0.97,41.2,0,1,1,2,393.7375
2,White,0.81,47.93,0,7,1,2,204.4826389
1,Black,0.98,5.85,15,4,0,2,394.3895833
2,Tan,0.54,23.05,0,7,0,2,324.5625
1,Brown,0.39,15.24,0,7,0,2,754.70625
1,Red,0.94,44.35,0,1,0,2,367.7909722
2,Orange,0.25,21.07,13,9,0,1,37.53194444
1,Tricolor,1,13.71,0,7,0,2,396.4805556
2,Brown,0.71,6.15,13,9,0,2,28.52708333
0,Black,0.35,35.55,0,7,1,2,2670.754167
0,White,0.85,35.69,0,7,1,2,3623.661806
1,Brown,0.63,38.25,0,7,0,2,3277.632639
2,Black,0.8,46.29,0,7,1,2,508.4763889
0,Tan,0.03,37.02,0,7,1,2,1116.5
1,Brown,0.83,44.53,0,1,0,2,403.6472222
1,Blue,0.84,19.5,7,1,0,1,2659.729167
0,Black,0.65,15.99,0,7,1,2,2212.675694
1,White,0.89,35.14,0,7,0,2,584.7006944
2,Black,0.05,21.98,0,7,1,2,128.6222222
2,Blue,0.39,32.65,13,9,0,1,61.49722222
0,Black,0.28,5.09,7,1,1,1,101.39375
1,Black,0.41,38.42,0,1,0,2,395.75625
2,Tan,0.12,37.88,0,7,1,2,3124.664583
0,White,0.7,31.92,7,1,1,1,118.3722222
0,Brown,0.19,15.11,13,9,1,1,209.4659722
0,Orange,0.5,45.4,0,1,1,1,182.6111111
2,Brown,0.69,5.53,13,9,1,1,28.65069444
1,Black,0.22,6.39,0,1,0,2,112.7770833
1,Orange,0.95,45.64,7,1,0,1,89.34722222
2,Calico,0.52,15.43,13,9,1,1,43.625
2,Tan,0.28,38.79,3,9,1,2,1121.68125
1,Brown,0.12,41.66,0,7,0,2,751.7118056
2,Black,0.02,33.9,1,4,1,2,398.7375
1,White,0.25,9.78,0,1,0,2,275.7319444
0,Brown,0.52,14.79,0,7,1,2,620.79375
0,Brown,0.45,20.93,13,9,1,1,133.6715278
1,Black,0.98,47.48,0,1,0,2,2580.730556
2,White,0.62,9,13,9,1,2,40
2,White,0.22,39.65,0,7,0,2,89.57569444
0,Brown,0.13,8.89,0,1,1,2,636.7756944
1,Tan,0.73,39.78,0,1,0,2,753.7631944
1,Fawn,0.63,45.6,0,1,0,2,1129.658333
1,Black,0.05,6.85,0,7,0,2,757.6298611
1,White,0.52,24.33,0,7,0,2,763.7270833
0,Calico,0.14,26.8,0,7,1,1,2579.463194
2,Brown,0.41,38.63,0,7,0,2,389.8125
1,Black,0.84,6.09,0,1,0,2,756.6722222
0,rare,0.88,26.52,7,1,1,1,1257.49375
2,Black,0.75,20.29,13,9,1,2,178
2,Tan,0.17,19.45,13,9,1,2,395.7069444
0,White,0.88,13.95,0,7,1,2,3186.646528
2,White,0.05,27.1,0,7,0,2,762.5451389
0,Tricolor,1,13.15,0,7,1,2,2952.471528
1,White,0.97,9.94,13,9,0,2,763
0,Brown,0.19,12.64,7,1,1,2,79.70486111
0,Calico,0.73,22.26,7,1,1,1,171.8076389
0,White,0.36,22.09,13,9,1,1,89.69513889
0,White,0.79,27.54,13,9,1,2,1301.559722
0,Torbie,0.76,12.99,0,1,1,1,391.7895833
2,Blue,0.28,7.29,0,1,1,1,87.63194444
2,Black,0.5,49.25,13,9,1,2,81.75277778
0,Black,0.1,25.28,0,1,1,2,4401.579861
1,Red,0.58,38.44,0,7,0,2,2630.552083
1,Black,0.32,33.16,0,1,0,2,757.6770833
0,Red,0.7,25.31,0,1,1,2,117.6909722
2,Blue,0.87,7.64,0,7,0,2,752.6444444
2,Black,0.87,33.57,13,9,0,1,61
2,Brown,0.73,46.08,13,9,1,1,214.8131944
2,Tan,0.7,43.78,13,9,1,2,758
1,Brown,0.48,31.55,7,1,0,1,87.71041667
1,Black,0.19,41.63,7,1,0,2,1736.63125
1,White,0.7,6.09,0,1,0,2,390.7534722
1,Black,0.86,6.27,0,1,0,2,136.6847222
1,Tan,0.88,26.02,0,1,0,2,756.7013889
0,Blue,0.14,47.51,0,1,1,1,93.77291667
1,Brown,0.8,39.47,0,7,0,2,438.5354167
2,Brown,0.72,28.43,0,7,0,2,1120.673611
1,Tan,0.89,17.07,18,4,0,2,754.6194444
0,Brown,0.55,18.31,0,1,1,1,670.7472222
1,Tan,0.88,8.29,7,1,0,2,127.2986111
2,Brown,0.35,49.84,16,9,1,1,387.375
0,Brown,0.64,19.97,0,1,1,2,755.7493056
0,Black,0.22,8.97,0,1,1,1,757.6208333
0,Tan,0.43,47.5,13,9,1,2,855
1,Brown,0.08,17.94,12,1,0,2,796.675
1,White,0.27,16.05,13,9,0,2,1117.588194
1,Brown,0.21,40.34,0,1,0,1,2957.372222
1,White,0.9,32.74,0,7,0,2,1158.570139
2,Tricolor,0.24,15.67,13,9,0,2,397.6076389
1,Red,0.4,23.08,0,1,0,2,755.7666667
1,rare,0.8,27.79,0,1,0,1,103.7548611
2,Blue,0.28,12.64,0,7,0,2,1123.616667
0,Blue,0.59,46.75,0,1,1,2,405.7361111
1,Brown,0.25,41.36,0,7,0,2,1484.771528
0,Brown,0.52,23,16,9,1,1,386.375
1,Tan,0.41,5.73,13,9,0,2,770.6138889
0,White,0.68,14,13,9,1,2,392
2,Black,0.3,9.88,0,7,1,2,3677.802083
0,Brown,0.74,35.97,0,1,1,1,1251.524306
0,Orange,0.59,34.07,0,1,1,1,177.5645833
0,Brown,0.6,44.14,0,1,1,2,1851.644444
1,Brown,0.8,15.38,0,1,0,2,769.7638889
2,Brown,0.85,21.06,0,7,0,2,2953.486806
0,Torbie,0.1,5.28,7,1,1,1,99.40486111
1,White,0.67,7.87,0,1,0,2,1852.798611
1,Black,0.37,38.98,0,1,0,1,104.6798611
1,Brown,0.51,8.05,0,1,0,2,388.4104167
0,Brown,0.15,20.73,7,1,1,1,1707.501389
2,White,0.75,37.93,13,9,1,2,1116.659028
0,Blue,0.32,9.95,0,1,1,1,91.78194444
1,rare,0.83,26.5,0,1,0,1,3679.673611
1,White,0.91,22.82,0,1,0,2,1283.5125
2,Blue,0.08,49.4,13,9,1,1,397.50625
1,Orange,0.59,39.84,7,1,0,1,87.31180556
0,Tricolor,0.49,40.88,0,1,1,2,2692.527778
0,Cream,0.89,47.94,0,1,1,1,771.79375
1,rare,0,39.49,7,1,0,1,89.71666667
0,Black,0.7,5.58,0,1,1,1,84.70625
0,Cream,0.1,39.98,0,1,1,2,798.7354167
1,Orange,0.08,26.74,0,1,0,1,244.7416667
1,Black,0.65,34.97,0,7,0,2,762.48125
0,Yellow,0.28,22.9,13,9,1,2,1193.679861
2,Black,0.05,39.05,13,9,1,1,41.65208333
0,White,0.45,41.98,0,7,1,2,842.6763889
1,Black,0.04,20.94,0,1,0,2,303.7368056
2,Orange,0.23,38.04,13,9,0,1,92.60277778
1,Blue,0,19.59,0,1,0,2,2950.755556
1,Black,0.79,25.44,0,1,0,2,1121.617361
1,Tan,0.53,45.5,0,1,0,2,86.79652778
1,Black,0.32,19.14,0,7,0,2,2580.73125
1,Orange,0.69,40.67,0,1,0,1,366.6208333
1,Brown,0.98,26.13,0,7,0,1,875.5638889
2,Red,0.69,48.85,0,7,1,2,387.6236111
1,Brown,0.67,49.04,0,7,0,1,2212.520139
2,Black,0.08,46.86,13,9,0,2,73.66736111
0,Black,0.01,35.01,18,4,1,1,751.4645833
0,Brown,0.76,35.67,0,7,1,2,2213.719444
1,rare,0.97,12.34,0,1,0,1,96.7
0,Brown,0.11,43.27,13,9,1,2,400.6805556
1,Brown,0.16,5.61,0,1,0,1,104.5506944
1,Brown,0.52,10.74,0,7,0,2,1149
0,Black,0.33,43.27,0,1,1,2,1163.732639
0,Black,0.06,19.29,0,1,1,1,246.5881944
1,Black,0.26,13.58,0,7,0,2,388.7180556
0,Orange,0.16,25.07,0,1,1,1,89.77291667
0,Tortie,0.29,10.66,0,7,1,1,2952.733333
2,Brown,0.29,8.55,13,9,0,2,36.69305556
1,Cream,0.21,35.66,7,1,0,2,74.74722222
1,Buff,0.69,46.88,13,9,0,2,398.5888889
1,Buff,0.82,20.11,0,1,0,2,758.7222222
2,Black,0.61,36.85,0,1,0,2,95.60694444
1,Red,0.48,21.4,0,1,0,2,391.7368056
1,Black,0.23,43.57,13,9,0,2,2583.425
1,Black,0.5,6.31,0,1,0,2,1488
1,Black,0.82,9.72,0,7,0,2,1846.515278
0,Brown,0.23,37.49,7,1,1,1,81.63819444
